REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Type,Housing?,NOTES,SITE
"SOUTHWESTERN REGION, REGION 3",KAIBAB NF,NORTH KAIBAB RD,JACOB LAKE,ARIZONA,"JACOB LAKE, ARIZONA","Engine, IA Crew/Squad (4-10 person), Prevention",YES,Housing: Three cabins and a bunch of trailer hookups. - Rumor is they're looking at turning the employee housing into overnight vacation rentals for tourists in the not to distant future,https://www.fs.usda.gov/kaibab
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,JEMEZ RD,JEMEZ SPRINGS,NEW MEXICO,"JEMEZ SPRINGS, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",APACHE-SITGREAVES NF,LAKESIDE RD,LAKESIDE,ARIZONA,"LAKESIDE, ARIZONA","Engine, Prevention",YES,"Crew quarters currently only has four, two-person units.",https://www.fs.usda.gov/asnf
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,PECOS/LAS VEGAS RD,LAS VEGAS,NEW MEXICO,"LAS VEGAS, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,INTERAGENCY FIRE CENTER,LOS ALAMOS,NEW MEXICO,"LOSO ALAMOS, NEW MEXICO",Helitack,,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",CIBOLA NF,MAGDALENA RD,MAGDALENA,NEW MEXICO,"MAGDALENA, NEW MEXICO","Engine, IA Crew/Squad (4-10 person), WFM",YES,,https://www.fs.usda.gov/cibola
"SOUTHWESTERN REGION, REGION 3",TONTO NF,MESA RD,MESA,ARIZONA,"MESA, ARIZONA",,,,https://www.fs.usda.gov/tonto/
"SOUTHWESTERN REGION, REGION 3",GILA NF,WILDERNESS RD,MIMBRES,NEW MEXICO,"MIMBRES, NEW MEXICO","Engine, IA Crew/Squad (4-10 person)",YES,,https://www.fs.usda.gov/gila/
"SOUTHWESTERN REGION, REGION 3",COCONINO NF,FLAGSTAFF RD,MORMON LAKE,ARIZONA,"MORMON LAKE, ARIZONA",,,,https://www.fs.usda.gov/coconino
"SOUTHWESTERN REGION, REGION 3",CIBOLA NF,MOUNTAINAIR RD,MOUNTAINAIR,NEW MEXICO,"MOUNTAINAIR, NEW MEXICO",,,,https://www.fs.usda.gov/cibola
"SOUTHWESTERN REGION, REGION 3",CORONADO NF,NOGALES RD,NOGALES,ARIZONA,"NOGALES, ARIZONA",,,,https://www.fs.usda.gov/coronado
"SOUTHWESTERN REGION, REGION 3",APACHE-SITGREAVES NF,BLACK MESA RD,OVERGAARD,ARIZONA,"OVERGAARD, ARIZONA","Engine, IA Crew/Squad (4-10 person), Hotshot Crew, Prevention",YES,,https://www.fs.usda.gov/asnf
"SOUTHWESTERN REGION, REGION 3",TONTO NF,PAYSON RD,PAYSON,ARIZONA,"PAYSON, ARIZONA","Engine, Hotshot Crew, Helitack, Fuels",NO,"At least for now, young is not staffed separately from Payson. Also, lakeside is Apache Sitgreaves ",https://www.fs.usda.gov/tonto/
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,PECOS/LAS VEGAS RD,PECOS,NEW MEXICO,"PECOS, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",CARSON NF,CAMINO REAL RD,PENASCO,NEW MEXICO,"PENASCO, NEW MEXICO",,,,https://www.fs.usda.gov/carson
"SOUTHWESTERN REGION, REGION 3",PRESCOTT NF,PRESCOTT FIRE CENTER,PRESCOTT,ARIZONA,"PRESCOTT, ARIZONA","Engine, Hotshot Crew, Helitack, Prevention",NO,,https://www.fs.usda.gov/prescott
"SOUTHWESTERN REGION, REGION 3",GILA NF,QUEMADO RD,QUEMADO,NEW MEXICO,"QUEMADO,NEW MEXICO","Engine, WFM",YES,,https://www.fs.usda.gov/gila/
"SOUTHWESTERN REGION, REGION 3",CARSON NF,QUESTA RD,QUESTA,NEW MEXICO,"QUESTA, NEW MEXICO",,,,https://www.fs.usda.gov/carson
"SOUTHWESTERN REGION, REGION 3",GILA NF,RESERVE RD,RESERVE,NEW MEXICO,"RESERVE, NEW MEXICO","Engine, HOTSHOT CREW",YES,Housing available at nearby Luna guard station. GILA IHC at Negrito Firebase wayyy outside of town,https://www.fs.usda.gov/gila/
"SOUTHWESTERN REGION, REGION 3",TONTO NF,TONTO BASIN RD,ROOSEVELT,ARIZONA,"ROOSEVELT, ARIZONA",Engine,YES,,https://www.fs.usda.gov/tonto/
"SOUTHWESTERN REGION, REGION 3",LINCOLN NF,SMOKEY BEAR RD,RUIDOSO,NEW MEXICO,"RUIDOSO, NEW MEXICO",,,,https://www.fs.usda.gov/lincoln
"SOUTHWESTERN REGION, REGION 3",LINCOLN NF,SACRAMENTO RD,SACRAMENTO,NEW MEXICO,"SACRAMENTO,NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/lincoln
"SOUTHWESTERN REGION, REGION 3",CORONADO NF,SAFFORD RD,SAFFORD,ARIZONA,"SAFFORD, ARIZONA",Engine,NO,,https://www.fs.usda.gov/coronado
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,ESPANOLA RD,SANTA FE,NEW MEXICO,"SANTA FE, NEW MEXICO",Hotshot Crew,NO,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",SANTA FE NF,SO,SANTA FE,NEW MEXICO,"SANTA FE, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
"SOUTHWESTERN REGION, REGION 3",TONTO NF,CAVE CREEK RD,SCOTTSDALE,ARIZONA,"SCOTTSDALE, ARIZONA",,,,https://www.fs.usda.gov/tonto/
"SOUTHWESTERN REGION, REGION 3",COCONINO NF,RED ROCK RD,SEDONA,ARIZONA,"SEDONA, ARIZONA",,,,https://www.fs.usda.gov/coconino
"SOUTHWESTERN REGION, REGION 3",GILA NF,SILVER CITY RD,SILVER CITY,NEW MEXICO,"SILVER CITY, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/gila/
"SOUTHWESTERN REGION, REGION 3",APACHE-SITGREAVES NF,SPRINGERVILLE RD,SPRINGERVILLE,ARIZONA,"SPRINGERVILLE, AARIZONA",,,,https://www.fs.usda.gov/asnf
"SOUTHWESTERN REGION, REGION 3",CARSON NF,SO,TAOS,NEW MEXICO,"TAOS, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/carson
"SOUTHWESTERN REGION, REGION 3",CIBOLA NF,SANDIA RD,TIJERAS,NEW MEXICO,"TIJERAS, NEW MEXICO",,,,https://www.fs.usda.gov/cibola
"SOUTHWESTERN REGION, REGION 3",TONTO NF,TONTO BASIN RD,TONTO BASIN,ARIZONA,"TONTO BASIN, ARIZONA",Engine,YES,,https://www.fs.usda.gov/tonto/
"SOUTHWESTERN REGION, REGION 3",CARSON NF,TRES PIEDRAS RD,TRES PIEDRAS,NEW MEXICO,"TRES PIEDRAS, NEW MEXICO",,,,https://www.fs.usda.gov/carson
"SOUTHWESTERN REGION, REGION 3",GILA NF,BLACK RANGE RD,TRUTH OR CONSEQUENCE,NEW MEXICO,"TRUTH OR CONSEQUENCE, NEW MEXICO",,,,https://www.fs.usda.gov/gila/
"SOUTHWESTERN REGION, REGION 3",CORONADO NF,SANTA CATALINA RD,TUCSON,ARIZONA,"TUCSON, ARIZONA",,,,https://www.fs.usda.gov/coronado
"SOUTHWESTERN REGION, REGION 3",KAIBAB NF,TUSAYAN RD,TUSAYAN,ARIZONA,"TUSAYAN, ARIZONA",,,,https://www.fs.usda.gov/kaibab
"SOUTHWESTERN REGION, REGION 3",KAIBAB NF,WILLIAMS RD,WILLIAMS,ARIZONA,"WILLIAMS, ARIZONA","Engine, IA Crew/Squad (4-10 person), Helitack, Fuels, Prevention",YES,Geren Base Work Center/Pittman Valley Helibase,https://www.fs.usda.gov/kaibab
